,games name,type of games,released year,rating,votes
0,Red Dead Redemption II,"
Action, Adventure, Crime            ",(2018 Video Game),"

9.7
","31,805"
1,Wiedzmin 3: Dziki Gon Krew i wino,"
Action, Adventure, Drama            ",(2016 Video Game),"

9.7
","7,209"
2,Wiedzmin 3: Dziki Gon,"
Action, Adventure, Drama            ",(2015 Video Game),"

9.7
","24,668"
3,The Last of Us,"
Action, Adventure, Drama            ",(2013 Video Game),"

9.7
","57,903"
4,God of War,"
Action, Adventure, Drama            ",(2018 Video Game),"

9.6
","23,561"
5,Mass Effect 2,"
Action, Adventure, Sci-Fi            ",(2010 Video Game),"

9.6
","19,494"
6,Mass Effect: Legendary Edition,"
Action, Adventure, Sci-Fi            ",(2021 Video Game),"

9.6
","1,185"
7,Perusona 5: Za roiyaru,"
Action, Adventure, Fantasy            ",(2019 Video Game),"

9.6
",968
8,Zeruda no densetsu: Toki no okarina,"
Action, Adventure, Fantasy            ",(1998 Video Game),"

9.6
","9,243"
9,Metal Gear Solid,"
Action, Adventure, Drama            ",(1998 Video Game),"

9.6
","11,524"
10,Wiedzmin 3: Dziki Gon - Serca z kamienia,"
Action, Adventure, Drama            ",(2015 Video Game),"

9.5
","5,996"
11,Uncharted 4: A Thief's End,"
Action, Adventure, Drama            ",(2016 Video Game),"

9.5
","26,876"
12,Zeruda no densetsu: Buresu obu za wairudo,"
Action, Adventure, Fantasy            ",(2017 Video Game),"

9.5
","6,510"
13,Grand Theft Auto V,"
Action, Crime, Drama            ",(2013 Video Game),"

9.5
","57,468"
14,Red Dead Redemption,"
Action, Crime, Drama            ",(2010 Video Game),"

9.5
","25,732"
15,Horizon: Forbidden West,"
Action, Adventure, Mystery            ",(2022 Video Game),"

9.5
","1,427"
16,Half-Life: Alyx,"
Action, Adventure, Horror            ",(2020 Video Game),"

9.5
",631
17,Elden Ring,"
Action, Adventure, Fantasy            ",(2022 Video Game),"

9.5
","1,528"
18,Metal Gear Solid 3: Subsistence,"
Action, Adventure, Drama            ",(2005 Video Game),"

9.5
","2,484"
19,Metal Gear Solid 3: Snake Eater,"
Action, Adventure, Drama            ",(2004 Video Game),"

9.5
","10,245"
20,Star Wars: Knights of the Old Republic,"
Action, Adventure, Fantasy            ",(2003 Video Game),"

9.5
","8,383"
21,Chrono Trigger,"
Action, Adventure, Fantasy            ",(1995 Video Game),"

9.5
","2,938"
22,Fainaru fantajî VII,"
Action, Adventure, Fantasy            ",(1997 Video Game),"

9.5
","9,603"
23,Fallout 2: A Post-Nuclear Role-Playing Game,"
Action, Adventure, Sci-Fi            ",(1998 Video Game),"

9.5
","3,794"
24,Uncharted: The Nathan Drake Collection,"
Action, Adventure, Fantasy            ",(2015 Video Game),"

9.4
","5,015"
25,Bloodborne: The Old Hunters,"
Action, Adventure, Fantasy            ",(2015 Video Game),"

9.4
","1,392"
26,The Elder Scrolls V: Skyrim,"
Action, Adventure, Fantasy            ",(2011 Video Game),"

9.4
","28,531"
27,Portal 2,"
Adventure, Comedy, Sci-Fi            ",(2011 Video Game),"

9.4
","15,054"
28,Batman: Arkham City,"
Action, Crime, Sci-Fi            ",(2011 Video Game),"

9.4
","29,558"
29,Mass Effect 3: Citadel,"
Action, Adventure, Sci-Fi            ",(2013 Video Game),"

9.4
",107
30,Uncharted 2: Among Thieves,"
Action, Adventure, Fantasy            ",(2009 Video Game),"

9.4
","24,034"
31,Metal Gear Solid 4: Guns of the Patriots,"
Action, Adventure, Drama            ",(2008 Video Game),"

9.4
","10,477"
32,Grand Theft Auto: San Andreas,"
Action, Crime            ",(2004 Video Game),"

9.4
","38,577"
33,Half-Life 2,"
Action, Adventure, Sci-Fi            ",(2004 Video Game),"

9.4
","15,758"
34,Silent Hill 2,"
Drama, Horror, Mystery            ",(2001 Video Game),"

9.4
","6,380"
35,Forgotten Realms: Baldur's Gate II - Shadows of Amn,"
Action, Adventure, Fantasy            ",(2000 Video Game),"

9.4
","2,070"
36,Planescape: Torment,"
Adventure, Drama, Fantasy            ",(1999 Video Game),"

9.4
","2,019"
37,Ghost of Tsushima,"
Action, Adventure, Drama            ",(2020 Video Game),"

9.3
","7,089"
38,Persona 5,"
Action, Adventure, Fantasy            ",(2016 Video Game),"

9.3
","2,492"
39,P.T.,"
Horror, Mystery            ",(2014 Video Game),"

9.3
","1,628"
40,Zeruda no densetsu: Toki no okarina 3D,"
Action, Adventure, Family            ",(2011 Video Game),"

9.3
","1,042"
41,Omori,"
Adventure, Drama, Fantasy            ",(2020 Video Game),"

9.3
",234
42,Batman: Arkham Collection,"
Adventure            ",(2018 Video Game),"

9.3
",158
43,Kimetsu no Yaiba: Hinokami Keppuutan,"
Action, Adventure, Fantasy            ",(2021 Video Game),"

9.3
",695
44,Wanda to kyozô,"
Action, Adventure, Drama            ",(2005 Video Game),"

9.3
","3,922"
45,Kingdom Hearts II,"
Action, Adventure, Family            ",(2005 Video Game),"

9.3
","7,049"
46,Zeruda no densetsu: Kamigami no toraifôsu,"
Action, Adventure, Fantasy            ",(1991 Video Game),"

9.3
","3,308"
47,The Secret of Monkey Island,"
Adventure, Comedy, Fantasy            ",(1990 Video Game),"

9.3
","3,040"
48,Monkey Island 2: LeChuck's Revenge,"
Adventure, Comedy, Fantasy            ",(1991 Video Game),"

9.3
","2,319"
49,Spider-Man,"
Action, Adventure, Fantasy            ",(2018 Video Game),"

9.2
","18,866"
